departure_hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
5,73.7124771657902,65.9280502043199,65.5008628318584,60.223627522489664,54.650584627964015,,99.34375
6,82.0125748775766,79.61026423690205,72.15958201615736,72.96033035445325,72.75076399394857,81.0711811023622,61.92775827482447
7,92.63113854115672,84.76507947573899,81.88183572949947,82.07174176153386,73.01094826856321,81.88953672018951,70.5546400420389
8,93.74909040240776,88.13602247686205,84.7272080063687,83.90627584170112,88.7968937298294,87.61420575692964,80.24361679790026
9,81.07964780600462,78.16217806701745,77.24398177399756,76.1462068434032,74.36456195965418,74.80319850984566,75.03707555555556
10,87.33594182825485,84.99832270584974,86.04376687668767,85.77717244484467,82.77351753453773,82.2038080333855,93.06322946923687
11,97.8444046306505,83.65375483158476,90.95073132313232,75.23946420531293,87.53490967056324,85.20031520882584,99.63903650026838
12,97.69733333333333,83.35187733732236,88.76586174972999,83.31917024539877,95.8376604705199,85.49801271860095,97.14883095193913
13,88.92907905686548,80.88716965517241,82.4549241223103,69.81358927760108,92.23189135693863,87.77908545727136,96.27335354092037
14,85.05260986547086,76.88048049132948,82.29991598050748,75.12726351877825,93.05434240535199,78.44747963063553,100.96668766876687
15,90.11877142465377,85.34638555877083,91.12039328037505,81.94729989452713,111.1397706171491,77.39893887271765,99.63509288747346
16,91.15770336894002,101.54196650982563,95.55985475856798,98.63505478271576,112.79882410851017,84.58554882863912,99.73529949106094
17,97.75957545187053,87.32015038631346,94.64715870500339,90.64936917481246,106.79004046369204,79.87558777429467,107.93348270440251
18,88.62715963402978,102.60307573848523,98.0851839167935,98.20835002946376,102.68767280071813,79.09789432382945,110.39732917606476
19,78.92668760240305,79.51314547473625,87.47624656552384,87.25816490289569,99.12932954793624,71.8780063711176,103.51470456343972
20,65.04798394290812,67.24826943942134,68.65885515496521,75.91768538628607,83.5450495049505,76.28798162729659,101.19133427963094
21,56.34279836512262,55.95128829321663,62.293603022893976,67.86431211041852,76.33589834851936,58.17008108108108,83.8468531591952
